country_code,population
ABW,106277
AFE,739108306
AFG,42239854
AFW,502789511
AGO,36684202
ALB,2745972
AND,80088
ARB,473272080
ARE,9516871
ARG,46654581
ARM,2777970
ASM,43914
ATG,94298
AUS,26638544
AUT,9132383
AZE,10112555
BDI,13238559
BEL,11822592
BEN,13712828
BFA,23251485
BGD,172954319
BGR,6430370
BHR,1485509
BHS,412623
BIH,3210847
BLR,9178298
BLZ,410825
BMU,63489
BOL,12388571
BRA,216422446
BRB,281995
BRN,452524
BTN,787424
BWA,2675352
CAF,5742315
CAN,40097761
CEB,100156608
CHE,8849852
CHI,175346
CHL,19629590
CHN,1410710000
CIV,28873034
CMR,28647293
COD,102262808
COG,6106869
COL,52085168
COM,852075
CPV,598682
CRI,5212173
CSS,3167738
CUB,11194449
CUW,147862
CYM,69310
CYP,1260138
CZE,10873689
DEU,84482267
DJI,1136455
DMA,73040
DNK,5946952
DOM,11332972
DZA,45606480
EAP,2133652241
EAR,3486290439
EAS,2380601170
ECA,247474425
ECS,923929755
ECU,18190484
EGY,112716598
EMU,350357398
ERI,3748901
ESP,48373336
EST,1366188
ETH,126527060
EUU,449476878
FCS,1042703808
FIN,5584264
FJI,936375
FRA,68170228
FRO,53270
FSM,115224
GAB,2436566
GBR,68350000
GEO,3760365
GHA,34121985
GIB,32688
GIN,14190612
GMB,2773168
GNB,2150842
GNQ,1714671
GRC,10361295
GRD,126183
GRL,56865
GTM,17602431
GUM,172952
GUY,813834
HIC,1403021503
HKG,7536100
HND,10593798
HPC,907995430
HRV,3853200
HTI,11724763
HUN,9589872
IBD,4937047867
IBT,6819750360
IDA,1882702493
IDB,622553200
IDN,277534122
IDX,1260149293
IMN,84710
IND,1428627663
INX,
IRL,5262382
IRN,89172767
IRQ,45504560
ISL,393600
ISR,9756700
ITA,58761146
JAM,2825544
JOR,11337052
JPN,124516650
KAZ,19900177
KEN,55100586
KGZ,7100800
KHM,16944826
KIR,133515
KNA,47755
KOR,51712619
KWT,4310108
LAC,600825676
LAO,7633779
LBN,5353930
LBR,5418377
LBY,6888388
LCA,180251
LCN,664155299
LDC,1150346774
LIC,722984063
LIE,39584
LKA,22037000
LMC,3059564861
LMY,6593137026
LSO,2330318
LTE,2326833223
LTU,2871897
LUX,668606
LVA,1881750
MAC,704149
MAF,32077
MAR,37840044
MCO,36297
MDA,2486891
MDG,30325732
MDV,521021
MEA,500787313
MEX,128455567
MHL,41996
MIC,5870152963
MKD,1811980
MLI,23293698
MLT,553214
MMR,54577997
MNA,430857111
MNE,616177
MNG,3447157
MNP,49796
MOZ,33897354
MRT,4862989
MUS,1261041
MWI,20931751
MYS,34308525
NAC,375076145
NAM,2604172
NCL,267940
NER,27202843
NGA,223804632
NIC,7046310
NLD,17879488
NOR,5519594
NPL,30896590
NRU,12780
NZL,5223100
OED,1385005653
OMN,4644384
OSS,14240737
PAK,240485658
PAN,4468087
PER,34352719
PHL,117337368
PLW,18058
PNG,10329931
POL,36685849
PRE,1065710613
PRI,3205691
PRK,26160821
PRT,10525347
PRY,6861524
PSE,5165775
PSS,2677728
PST,1119478514
PYF,308872
QAT,2716391
ROU,19056116
RUS,143826130
RWA,14094683
SAS,1938549529
SAU,36947025
SDN,48109006
SEN,17763163
SGP,5917648
SLB,740424
SLE,8791092
SLV,6364943
SMR,33642
SOM,18143378
SRB,6618026
SSA,1241778044
SSD,11088796
SSF,1241897817
SST,20086203
STP,231856
SUR,623236
SVK,5426740
SVN,2120937
SWE,10536632
SWZ,1210822
SXM,41163
SYC,119773
SYR,23227014
TCA,46062
TCD,18278568
TEA,2107522258
TEC,457326090
TGO,9053799
THA,71801279
TJK,10143543
TKM,6516100
TLA,648763330
TLS,1360596
TMN,425691336
TON,107773
TSA,1938549529
TSS,1241897817
TTO,1534937
TUN,12458223
TUR,85326000
TUV,11396
TZA,67438106
UGA,48582334
UKR,37000000
UMC,2810588102
URY,3423108
USA,334914895
UZB,36412350
VCT,103698
VEN,28838499
VGB,31538
VIR,104917
VNM,98858950
VUT,334506
WLD,8024997028
WSM,225681
XKX,1756374
YEM,34449825
ZAF,60414495
ZMB,20569737
ZWE,16665409
